Name,Description,CostPrice,TaxRate,CostIncTax,SalePriceIncTax,IsVariablePrice,MarginPerc,TaxExemptEligible,RRPrice,Barcode,Category,Brand,Supplier,OrderCode,ArticleCode,Size,Colour,ProductType,TareWeight,ProductId,AgeRestriction
AYUR HENNA 200GMS,AYUR HENNA 200GMS,2.20000,GST FREE,2.20000,4.75000,False,0.536840,False,0,808042005027,"Personal Care, Beauty & Pharmacy",AYUR,Indya,,,,,Standard,,1765184,
AYUR ORANGE FACE PACK,AYUR ORANGE FACE PACK,0.00000,GST,0.00000,2.99000,False,1.000000,False,0,808042000947,"Personal Care, Beauty & Pharmacy",AYUR,Indya,,,,,Standard,,1765185,
AYUR SHAHI UBTAN FACE PACK,AYUR SHAHI UBTAN FACE PACK,0.00000,GST,0.00000,2.75000,False,1.000000,False,0,808042000985,"Personal Care, Beauty & Pharmacy",AYUR,Indya,,,,,Standard,,1765186,
BEAUTY LINE MOIST TISSUES,BEAUTY LINE MOIST TISSUES,0.00000,GST,0.00000,5.49000,False,1.000000,False,0,8888047734445,"Personal Care, Beauty & Pharmacy",BEAUT,Indya,,,,,Standard,,1765187,
BIC STAR WARS,BIC STAR WARS,0.00000,GST,0.00000,2.49000,False,1.000000,False,0,3086123474888,SUPPLIES,BIC S,MISC,,,,,Standard,,1765188,
CUTICLE SCISSORS,CUTICLE SCISSORS,0.00000,GST,0.00000,3.75000,False,1.000000,False,0,8809327180554,"Personal Care, Beauty & Pharmacy",CUTIC,Indya,,,,,Standard,,1765189,
DAILY TELEGRAPH NEWSPAPER,DAILY TELEGRAPH NEWSPAPER,0.00000,GST,0.00000,3.00000,False,1.000000,False,0,90000000000,SUPPLIES,DAILY,Indya,,,,,Standard,,1765190,
DHATRI TUMERIC FACE PACK,DHATRI TUMERIC FACE PACK,0.00000,GST,0.00000,3.50000,False,1.000000,False,0,8904070906625,"Personal Care, Beauty & Pharmacy",DHATR,Indya,,,,,Standard,,1765191,
DOVE GENTLE EXFOLIATING 4X100,DOVE GENTLE EXFOLIATING 4X100,0.00000,GST,0.00000,7.99000,False,1.000000,False,0,8717163607305,"Personal Care, Beauty & Pharmacy",DOVE,Indya,,,,,Standard,,1765192,
DOVE GO FRESH BEAUTY CREAM BAR,DOVE GO FRESH BEAUTY CREAM BAR 100GM,0.00000,GST,0.00000,2.50000,False,1.000000,False,0,8717163410134,"Personal Care, Beauty & Pharmacy",DOVE,Indya,,,,,Standard,,1765193,
FAIR & LOVELY,FAIR & LOVELY,2.04000,GST,2.24400,3.99000,False,0.437590,False,0,"8901030732430,8901030821523","Personal Care, Beauty & Pharmacy",FAIR,Shivom Enterprises,,,,,Standard,,1765194,
FEM FAIRNESS BLEACH,FEM FAIRNESS BLEACH,0.00000,GST,0.00000,5.99000,False,1.000000,False,0,8901103001036,"Personal Care, Beauty & Pharmacy",FEM F,Indya,,,,,Standard,,1765195,
GIFT WRAP PAPER 500X900MM CODE,GIFT WRAP PAPER 500X900MM CODE2,0.00000,GST,0.00000,2.50000,False,1.000000,False,0,9321823200028,SUPPLIES,GIFT,Indya,,,,,Standard,,1765196,
GILLETTE FUSION SHAVE FOAM,GILLETTE FUSION SHAVE FOAM,0.00000,GST,0.00000,6.49000,False,1.000000,False,0,4902430590006,"Personal Care, Beauty & Pharmacy",GILLE,Indya,,,,,Standard,,1765197,
GODREJ,GODREJ,0.00000,GST,0.00000,2.75000,False,1.000000,False,0,8901023001208,"Personal Care, Beauty & Pharmacy",GODRE,Indya,,,,,Standard,,1765198,
HAYA MULTANI,HAYA MULTANI,0.00000,GST,0.00000,2.25000,False,1.000000,False,0,8905594005016,"Personal Care, Beauty & Pharmacy",HAYA,Indya,,,,,Standard,,1765199,
HIMALAYA ALOE VERA FACE WASH,HIMALAYA ALOE VERA FACE WASH,3.80000,GST,4.18000,5.70000,False,0.266670,False,0,8901138505530,"Personal Care, Beauty & Pharmacy",HIMAL,Indya,,,,,Standard,,1765200,
INDYA WAX STRIP,INDYA WAX STRIP,0.00000,GST,0.00000,5.49000,False,1.000000,False,0,8908004076361,"Personal Care, Beauty & Pharmacy",INDYA,Indya,,,,,Standard,,1765201,
